question,answer,source,focus_area
What is (are) Antibiotics ?,You should only take antibiotics when they are needed because they can cause side effects and can contribute to Antibiotic resistance infections. Antibiotic resistance happens when the bacteria change and become able to resist the effects of an antibiotic. This means that the bacteria continue to grow.,"MedlinePlus (NLM, public domain)",Antibiotics
What is (are) Antibiotics ?,"When you take antibiotics, it is important that you take them responsibly: • Always follow the directions carefully. Finish your medicine even if you feel better. If you stop taking them too soon, some bacteria may survive and re-infect you. • Don't save your antibiotics for later. • Don't share your antibiotic with others. • Don't take antibiotics prescribed for someone else. This may delay the best treatment for you, make you even sicker, or cause side effects. Centers for Disease Control and Prevention","MedlinePlus (NLM, public domain)",Antibiotics
What is (are) Antioxidants ?,"Antioxidants are man-made or natural substances that may prevent or delay some types of cell damage. Antioxidants are found in many foods, including fruits and vegetables. They are also available as dietary supplements. Examples of antioxidants include: • Beta-carotene • Lutein • Lycopene • Selenium • Vitamin A • Vitamin C • Vitamin E Vegetables and fruits are rich sources of antioxidants. There is good evidence that eating a diet with lots of vegetables and fruits is healthy and lowers risks of certain diseases. But it isn't clear whether this is because of the antioxidants, something else in the foods, or other factors. High-dose supplements of antioxidants may be linked to health risks in some cases. For example, high doses of beta-carotene may increase the risk of lung cancer in smokers. High doses of vitamin E may increase risks of prostate cancer and one type of stroke. Antioxidant supplements may also interact with some medicines. To minimize risk, tell your health care providers about any antioxidants you use. NIH: National Center for Complementary and Integrative Health","MedlinePlus (NLM, public domain)",Antioxidants
What is (are) Cold and Cough Medicines ?,"Cold and cough medicines can help relieve symptoms of a common cold. The symptoms of a cold can include a sore throat, stuffy or runny nose, sneezing, and coughing. You don't usually need to treat a cold or the cough that it causes. You can't cure a cold, and antibiotics won't help you get better. But sometimes the symptoms can keep you awake or cause a lot of discomfort. In that case, cold and cough medicines can sometimes be helpful.","MedlinePlus (NLM, public domain)",Cold and Cough Medicines
What is (are) Cold and Cough Medicines ?,"There are lots of different cold and cough medicines, and they do different things: • Nasal decongestants - unclog a stuffy nose • Cough suppressants - quiet a cough • Expectorants - loosen mucus in your lungs so you can cough it up • Antihistamines - stop runny noses and sneezing • Pain relievers - ease fever, headaches, and minor aches and pains","MedlinePlus (NLM, public domain)",Cold and Cough Medicines
What is (are) Cold and Cough Medicines ?,"Before taking these medicines, read the labels and follow the instructions carefully. Many cold and cough medicines contain the same active ingredients. For example, some of them include pain relievers. If you are taking these medicines and are also taking a separate pain reliever, you could be getting a dangerous amount of the pain reliever. Do not give cold or cough medicines to children under two, and don't give aspirin to children.","MedlinePlus (NLM, public domain)",Cold and Cough Medicines
What is (are) Cold and Cough Medicines ?,"If you decide that you don't want to take cold and cough medicines, there are other ways to feel better: • Drink lots of fluids • Get plenty of rest • Use a cool mist humidifier • Use saline nose drops or sprays • Use nasal suctioning with a bulb syringe, which can be very helpful in children under a year old Centers for Disease Control and Prevention","MedlinePlus (NLM, public domain)",Cold and Cough Medicines
What is (are) Vitamin C ?,"Vitamins are substances that your body needs to grow and develop normally. Vitamin C is an antioxidant. It is important for your skin, bones, and connective tissue. It promotes healing and helps the body absorb iron. Vitamin C comes from fruits and vegetables. Good sources include citrus, red and green peppers, tomatoes, broccoli, and greens. Some juices and cereals have added vitamin C. Some people may need extra vitamin C: • Pregnant/breastfeeding women • Smokers • People recovering from surgery • Burn victims","MedlinePlus (NLM, public domain)",Vitamin C
What is (are) Common Cold ?,"The common cold is a mild infection of your upper respiratory tract (which includes your nose and throat). Colds are probably the most common illness. Adults have an average of 2-3 colds per year, and children have even more. Colds are more common in the winter and spring, but you can get them at any time.","MedlinePlus (NLM, public domain)",Common Cold
What causes Common Cold ?,"More than 200 different viruses can cause a cold, but rhinoviruses are the most common type. The viruses that cause colds are very contagious. They can spread from person to person through the air and close personal contact. You can also get infected when you touch something that has the virus on it and then touch your eyes, mouth, or nose. For example, you could get a cold after you shake hands with someone who has a cold or touch a doorknob that has the germs on it, and then touch your face.","MedlinePlus (NLM, public domain)",Common Cold
What are the symptoms of Common Cold ?,The symptoms of a common cold usually include: • Sneezing • Stuffy nose (congestion) • Runny nose • Sore throat • Coughing • Headache The symptoms usually start a few days after you become infected with the virus. Some symptoms can last for 10-14 days.,"MedlinePlus (NLM, public domain)",Common Cold
What are the treatments for Common Cold ?,"There is no cure for the common cold. But there are treatments that can make you feel better while you wait for the cold to go away on its own: • Getting lots of rest. • Drinking plenty of fluids. • Using a clean humidifier or cool mist vaporizer. • Gargling with warm salt water. • Using saline nose drops or sprays. • Taking over-the-counter pain or cold and cough medicines. But you need to be careful with certain medicines: • Children and teens should not take aspirin. • Some cold and cough medicines contain ingredients that are not recommended for children. Talk with your child's health care provider before giving your child any cold and cough medicines. • Some cold and cough medicines contain pain relievers. If you also take a separate pain reliever with these medicines, you could be getting a dangerous amount of the pain reliever. Read the labels on the medicines and follow the instructions carefully. If you have questions, ask your provider or a pharmacist. Antibiotics will not help with a cold. Antibiotics help with bacterial infections, not with viral infections such as colds. Most people who have a cold will feel better after a week or two. However, some people who get a cold may develop other illnesses, such as bronchitis or pneumonia. This is more common in people with weakened immune systems, asthma, or other respiratory conditions. Contact your provider if you or your child have symptoms that concern you, such as: • Trouble breathing or fast breathing • Dehydration • Fever that lasts longer than 4 days • Symptoms that last more than 10 days without improvement • Symptoms, such as fever or cough, that improve but then return or worsen • Worsening of chronic medical conditions","MedlinePlus (NLM, public domain)",Common Cold
How to prevent Common Cold ?,"There is no vaccine to protect against the common cold. But you may be able to reduce your risk of getting or spreading a cold by: • Washing your hands often with soap and water for at least 20 seconds. • Avoiding touching your face, nose, or mouth with unwashed hands. • Avoiding close contact, such as kissing, shaking hands, and sharing cups and eating utensils, with others if you are sick or they are sick. • Cleaning and disinfecting surfaces that you frequently touch. • Covering coughs and sneezes with a tissue. Then throw away the tissue and wash your hands. • Staying home when sick. Centers for Disease Control and Prevention","MedlinePlus (NLM, public domain)",Common Cold
What is (are) Heart Attack ?,"Each year almost 800,000 Americans have a heart attack. A heart attack happens when blood flow to the heart suddenly becomes blocked. Without the blood coming in, the heart can't get oxygen. If not treated quickly, the heart muscle begins to die. But if you do get quick treatment, you may be able to prevent or limit damage to the heart muscle. That's why it's important to know the symptoms of a heart attack and call 911 if you or someone else is having them. You should call, even if you are not sure that it is a heart attack. The most common symptoms in men and women are: • Chest discomfort. It is often in center or left side of the chest. It usually lasts more than a few minutes. It may go away and come back. It can feel like pressure, squeezing, fullness, or pain. It also can feel like heartburn or indigestion. • Shortness of breath. Sometimes this is your only symptom. You may get it before or during the chest discomfort. It can happen when you are resting or doing a little bit of physical activity. • Discomfort in the upper body. You may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach. You may also have other symptoms, such as nausea, vomiting, dizziness, and lightheadedness. You may break out in a cold sweat. Sometimes women will have different symptoms then men. For example, they are more likely to feel tired for no reason. The most common cause of heart attacks is coronary artery disease (CAD). With CAD, there is a buildup of cholesterol and other material, called plaque, on their inner walls or the arteries. This is atherosclerosis. It can build up for years. Eventually an area of plaque can rupture (break open). A blood clot can form around the plaque and block the artery. A less common cause of heart attack is a severe spasm (tightening) of a coronary artery. The spasm cuts off blood flow through the artery. At the hospital, health care providers make a diagnosis based on your symptoms, blood tests, and different heart health tests. Treatments may include medicines and medical procedures such as coronary angioplasty. After a heart attack, cardiac rehabilitation and lifestyle changes can help you recover. NIH: National Heart, Lung, and Blood Institute","MedlinePlus (NLM, public domain)",Heart Attack
What is (are) Mitochondrial Diseases ?,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats. Chemicals in your digestive system (enzymes) break the food parts down into sugars and acids, your body's fuel. Your body can use this fuel right away, or it can store the energy in your body tissues. If you have a metabolic disorder, something goes wrong with this process. Mitochondrial diseases are a group of metabolic disorders. Mitochondria are small structures that produce energy in almost all of your cells. They make it by combining oxygen with the fuel molecules (sugars and fats) that come from your food. When the mitochondria are defective, the cells do not have enough energy. The unused oxygen and fuel molecules build up in the cells and cause damage. The symptoms of mitochondrial disease can vary. It depends on how many mitochondria are defective, and where they are in the body. Sometimes only one organ, tissue, or cell type is affected. But often the problem affects many of them. Muscle and nerve cells have especially high energy needs, so muscular and neurological problems are common. The diseases range from mild to severe. Some types can be fatal. Genetic mutations cause these diseases. They usually happen before age 20, and some are more common in infants. There are no cures for these diseases, but treatments may help with symptoms and slow down the disease. They may include physical therapy, vitamins and supplements, special diets, and medicines.","MedlinePlus (NLM, public domain)",Mitochondrial Diseases
What is (are) Nutrition ?,"Good nutrition is important in keeping people healthy throughout their lives - when they are babies, toddlers, children, adults, and then older adults. It can help people live longer and lower their risk of health problems like heart disease, type 2 diabetes, obesity, and more. Good nutrition is about healthy eating. This means regularly choosing healthy foods and beverages. A healthy eating plan should give your body the energy and nutrients that you need every day. Nutrients include proteins, carbohydrates, fats, vitamins, minerals, and water. The plan should also take into account your preferences, cultural traditions, and budget. Healthy eating does not mean that you have to follow a very strict diet or eat only a few specific types of food. It doesn't mean that you can never eat your favorite foods. You can eat a variety of foods, including less healthy favorites. But it's important not to eat too much of those foods or have them too often. You can balance those foods with healthier foods and regular physical activity. The keys to a healthy eating plan include: • Eating a variety of foods, including vegetables, fruits, and whole-grain products • Eating lean meats, poultry, fish, beans, and low-fat dairy products • Getting enough fiber • Drinking lots of water • Limiting salt, added sugars, alcohol, and saturated fat • Making sure that you get enough nutrients, especially calcium, vitamin D, and potassium Centers for Disease Control and Prevention","MedlinePlus (NLM, public domain)",Nutrition
What is (are) Nutrition for Older Adults ?,"Nutrition is about eating a healthy and balanced diet so your body gets the nutrients that it needs. Nutrients are substances in foods that our bodies need so they can function and grow. They include carbohydrates, fats, proteins, vitamins, minerals, and water. Good nutrition is important, no matter what your age. It gives you energy and can help you control your weight. It may also help prevent some diseases, such as osteoporosis, high blood pressure, heart disease, type 2 diabetes, and certain cancers. But as you age, your body and life change, and so does what you need to stay healthy. For example, you may need fewer calories, but you still need to get enough nutrients. Some older adults need more protein.","MedlinePlus (NLM, public domain)",Nutrition for Older Adults
What is (are) Nutrition for Older Adults ?,"Some changes that can happen as you age can make it harder for you to eat healthy. These include changes in your: • Home life, such as suddenly living alone or having trouble getting around • Health, which can make it harder for you to cook or feed yourself • Medicines, which can change how food tastes, make your mouth dry, or take away your appetite • Income, which means that you may not have as much money for food • Sense of smell and taste • Problems chewing or swallowing your food","MedlinePlus (NLM, public domain)",Nutrition for Older Adults
What is (are) Nutrition for Older Adults ?,"To stay healthy as you age, you should: • Eat foods that give you lots of nutrients without a lot of extra calories, such as • Fruits and vegetables (choose different types with bright colors) • Whole grains, like oatmeal, whole-wheat bread, and brown rice • Fat-free or low-fat milk and cheese, or soy or rice milk that has added vitamin D and calcium • Seafood, lean meats, poultry, and eggs • Beans, nuts, and seeds • Avoid empty calories. These are foods with lots of calories but few nutrients, such as chips, candy, baked goods, soda, and alcohol. • Pick foods that are low in cholesterol and fat. You especially want to try to avoid saturated and trans fats. Saturated fats are usually fats that come from animals. Trans fats are processed fats in stick margarine and vegetable shortening. You may find them in some store-bought baked goods and fried foods at some fast-food restaurants. • Drink enough liquids, so you don't get dehydrated. Some people lose their sense of thirst as they age. And certain medicines might make it even more important to have plenty of fluids. • Be physically active. If you have started losing your appetite, exercising may help you to feel hungrier.","MedlinePlus (NLM, public domain)",Nutrition for Older Adults
What is (are) Nutrition for Older Adults ?,"Sometimes health issues or other problems can make it hard to eat healthy. Here are some tips that might help: • If you are tired of eating alone, try organizing some potluck meals or cooking with a friend. You can also look into having some meals at a nearby senior center, community center, or religious facility. • If you are having trouble chewing, see your dentist to check for problems • If you are having trouble swallowing, try drinking plenty of liquids with your meal. If that does not help, check with your health care provider. A health condition or medicine could be causing the problem. • If you're having trouble smelling and tasting your food, try adding color and texture to make your food more interesting • If you aren't eating enough, add some healthy snacks throughout the day to help you get more nutrients and calories • If an illness is making it harder for you to cook or feed yourself, check with your health care provider. He or she may recommend an occupational therapist, who can help you find ways to make it easier. NIH: National Institute on Aging","MedlinePlus (NLM, public domain)",Nutrition for Older Adults
What is (are) Nutritional Support ?,"Nutritional support is therapy for people who cannot get enough nourishment by eating or drinking. You may need it if you : • Can't swallow • Have problems with your appetite • Are severely malnourished • Can't absorb nutrients through your digestive system You receive nutritional support through a needle or catheter placed in your vein or with a feeding tube, which goes into your stomach.","MedlinePlus (NLM, public domain)",Nutritional Support
What is (are) Food Labeling ?,"All packaged foods and beverages in the United States have food labels. These ""Nutrition Facts"" labels can help you make smarter food choices and eat a healthy diet. Before you read the food label, you should know a few things: • Serving size is based on how much people usually eat and drink at one time • Number of servings tells you how many servings are in the container. Some labels will give you information about calories and nutrients for both the whole package and each serving size. But many labels just tell you that information for each serving size. You need to think about the serving size when you decide how much to eat or drink. For example, if a bottle of juice has two servings and you drink the whole bottle, then you are getting twice the amount of sugar that is listed on the label. • Percent daily value (%DV) is a number that helps you understand how much of a nutrient is in one serving. Experts recommend that you get a certain amount of different nutrients daily. %DV tells you what percentage of the daily recommendation you get from one serving of a food. With this, you can figure out if a food is high or low in a nutrient: 5% or less is low, 20% or more is high. The information on a food label can help you see how a certain food or drink fits into your overall diet. The label lists, per serving,: • The number of calories • Fats, including total fat, saturated fat, and trans fat • Cholesterol • Sodium • Carbohydrates, including fiber, total sugar, and added sugar • Protein • Vitamins and minerals Food and Drug Administration","MedlinePlus (NLM, public domain)",Food Labeling
What is (are) Toddler Nutrition ?,"Food provides the energy and nutrients that young children need to be healthy. Toddlers are learning to feed themselves and to eat new foods. They should eat a variety of foods from all of the food groups. Each day, toddlers need enough nutrients, including: • 7 milligrams of iron • 700 milligrams of calcium • 600 IU of vitamin D","MedlinePlus (NLM, public domain)",Toddler Nutrition
What is (are) Dietary Fats ?,"Fat is a type of nutrient. You need some fat in your diet but not too much. Fats give you energy and help your body absorb vitamins. Dietary fat also plays a major role in your cholesterol levels. But not all fats are the same. You should try to avoid: • Saturated fats such as butter, solid shortening, and lard • Trans fats. These are found in vegetable shortenings, some margarines, crackers, cookies, snack foods, and other foods made with or fried in partially hydrogenated oils (PHOs). By 2018, most U.S. companies will not be allowed to add PHOs to food. Try to replace them with oils such as canola, olive, safflower, sesame, or sunflower. Of course, eating too much fat will put on the pounds. Fat has twice as many calories as proteins or carbohydrates. NIH: National Heart, Lung, and Blood Institute","MedlinePlus (NLM, public domain)",Dietary Fats
What is (are) VLDL Cholesterol ?,"Cholesterol is a waxy, fat-like substance that's found in all the cells in your body. Your liver makes cholesterol, and it is also in some foods, such as meat and dairy products. Your body needs some cholesterol to work properly. But having too much cholesterol in your blood raises your risk of coronary artery disease.","MedlinePlus (NLM, public domain)",VLDL Cholesterol
What is (are) VLDL Cholesterol ?,"VLDL stands for very-low-density lipoprotein. Your liver makes VLDL and releases it into your bloodstream. The VLDL particles mainly carry triglycerides, another type of fat, to your tissues. VLDL is similar to LDL cholesterol, but LDL mainly carries cholesterol to your tissues instead of triglycerides. VLDL and LDL are sometimes called ""bad"" cholesterols because they can contribute to the buildup of plaque in your arteries. This buildup is called atherosclerosis. The plaque that builds up is a sticky substance made up of fat, cholesterol, calcium, and other substances found in the blood. Over time, the plaque hardens and narrows your arteries. This limits the flow of oxygen-rich blood to your body. It can lead to coronary artery disease and other heart diseases.","MedlinePlus (NLM, public domain)",VLDL Cholesterol
How to diagnose VLDL Cholesterol ?,"There isn't a way to directly measure your VLDL level. Instead, you will most likely get a blood test to measure your triglyceride level. The lab can use your triglyceride level to estimate what your VLDL level is. Your VLDL is about one-fifth of your triglyceride level. However, estimating your VLDL this way does not work if your triglyceride level is very high.","MedlinePlus (NLM, public domain)",VLDL Cholesterol
What is (are) VLDL Cholesterol ?,Your VLDL level should be less than 30 mg/dL (milligrams per deciliter). Anything higher than that puts you at risk of heart disease and stroke.,"MedlinePlus (NLM, public domain)",VLDL Cholesterol
What is (are) VLDL Cholesterol ?,"Because VLDL and triglycerides are linked, you can lower your VLDL level by lowering your triglyceride level. You may be able to lower your triglycerides with a combination of losing weight, changing your diet, and getting exercise. It is important to switch to healthy fats and cut back on sugar and alcohol. Some people may also need to take medicines.","MedlinePlus (NLM, public domain)",VLDL Cholesterol
What is (are) Intestinal Cancer ?,"Your small intestine is part of your digestive system. It is a long tube that connects your stomach to your large intestine. Intestinal cancer is rare, but eating a high-fat diet or having Crohn's disease, celiac disease, or a history of colonic polyps can increase your risk. Possible signs of small intestine cancer include: • Abdominal pain • Weight loss for no reason • Blood in the stool • A lump in the abdomen Imaging tests that create pictures of the small intestine and the area around it can help diagnose intestinal cancer and show whether it has spread. Surgery is the most common treatment. Additional options include chemotherapy, radiation therapy, or a combination. NIH: National Cancer Institute","MedlinePlus (NLM, public domain)",Intestinal Cancer
What is (are) Carbohydrates ?,"Carbohydrates, or carbs, are sugar molecules. Along with proteins and fats, carbohydrates are one of three main nutrients found in foods and drinks. Your body breaks down carbohydrates into glucose. Glucose, or blood sugar, is the main source of energy for your body's cells, tissues, and organs. Glucose can be used immediately or stored in the liver and muscles for later use.","MedlinePlus (NLM, public domain)",Carbohydrates
What is (are) Carbohydrates ?,"There are three main types of carbohydrates: • Sugars. They are also called simple carbohydrates because they are in the most basic form. They can be added to foods, such as the sugar in candy, desserts, processed foods, and regular soda. They also include the kinds of sugar that are found naturally in fruits, vegetables, and milk. • Starches. They are complex carbohydrates, which are made of lots of simple sugars strung together. Your body needs to break starches down into sugars to use them for energy. Starches include bread, cereal, and pasta. They also include certain vegetables, like potatoes, peas, and corn. • Fiber. It is also a complex carbohydrate. Your body cannot break down most fibers, so eating foods with fiber can help you feel full and make you less likely to overeat. Diets high in fiber have other health benefits. They may help prevent stomach or intestinal problems, such as constipation. They may also help lower cholesterol and blood sugar. Fiber is found in many foods that come from plants, including fruits, vegetables, nuts, seeds, beans, and whole grains.","MedlinePlus (NLM, public domain)",Carbohydrates
What is (are) Carbohydrates ?,"Common foods with carbohydrates include: • Grains, such as bread, noodles, pasta, crackers, cereals, and rice • Fruits, such as apples, bananas, berries, mangoes, melons, and oranges • Dairy products, such as milk and yogurt • Legumes, including dried beans, lentils, and peas • Snack foods and sweets, such as cakes, cookies, candy, and other desserts • Juices, regular sodas, fruit drinks, sports drinks, and energy drinks that contain sugar • Starchy vegetables, such as potatoes, corn, and peas Some foods don't have a lot of carbohydrates, such as meat, fish, poultry, some types of cheese, nuts, and oils.","MedlinePlus (NLM, public domain)",Carbohydrates
What is (are) Carbohydrates ?,"You do need to eat some carbohydrates to give your body energy. But it's important to eat the right kinds of carbohydrates for your health: • When eating grains, choose mostly whole grains and not refined grains: • Whole grains are foods like whole-wheat bread, brown rice, whole cornmeal, and oatmeal. They offer lots of nutrients that your body needs, like vitamins, minerals, and fiber. To figure out whether a product has a lot of whole grain, check the ingredients list on the package and see if a whole grain is one of the first few items listed. • Refined grains are foods that have had some parts of the grains removed. This also removes some of the nutrients that are good for your health. • Eat foods with lots of fiber. The Nutrition Facts labels on the back of food packages tells you how much fiber a product has. • Try to avoid foods that have a lot of added sugar. These foods can have many calories but not much nutrition. Eating too much added sugar raises your blood sugar and can make you gain weight. You can tell if a food or drink has added sugars by looking at the Nutrition Facts label on the back of the food package. It tells you how much total sugar and added sugar is in that food or drink.","MedlinePlus (NLM, public domain)",Carbohydrates
What is (are) Carbohydrates ?,"There is no one-size-fits-all amount of carbohydrates that people should eat. This amount can vary, depending on factors such as your age, sex, health, and whether or not you are trying to lose or gain weight. On average, people should get 45 to 65% of their calories from carbohydrates every day. On the Nutrition Facts labels, the Daily Value for total carbohydrates is 275 g per day. This is based on a 2,000-calorie daily diet. Your Daily Value may be higher or lower depending on your calorie needs and health.","MedlinePlus (NLM, public domain)",Carbohydrates
What is (are) Carbohydrates ?,"Some people go on a low-carb diet to try to lose weight. This usually means eating between 25 g and 150 g of carbs each day. This kind of diet can be safe, but you should talk to your health care provider before starting it. One problem with low-carb diets is that they can limit the amount of fiber you get each day. They can also be hard to stay on for the long term.","MedlinePlus (NLM, public domain)",Carbohydrates
What is (are) Carbohydrate Metabolism Disorders ?,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats. Chemicals in your digestive system (enzymes) break the food parts down into sugars and acids, your body's fuel. Your body can use this fuel right away, or it can store the energy in your body tissues. If you have a metabolic disorder, something goes wrong with this process. Carbohydrate metabolism disorders are a group of metabolic disorders. Normally your enzymes break carbohydrates down into glucose (a type of sugar). If you have one of these disorders, you may not have enough enzymes to break down the carbohydrates. Or the enzymes may not work properly. This causes a harmful amount of sugar to build up in your body. That can lead to health problems, some of which can be serious. Some of the disorders are fatal. These disorders are inherited. Newborn babies get screened for many of them, using blood tests. If there is a family history of one of these disorders, parents can get genetic testing to see whether they carry the gene. Other genetic tests can tell whether the fetus has the disorder or carries the gene for the disorder. Treatments may include special diets, supplements, and medicines. Some babies may also need additional treatments, if there are complications. For some disorders, there is no cure, but treatments may help with symptoms.","MedlinePlus (NLM, public domain)",Carbohydrate Metabolism Disorders
What is (are) Diabetes in Children and Teens ?,"Until recently, the common type of diabetes in children and teens was type 1. It was called juvenile diabetes. With Type 1 diabetes, the pancreas does not make insulin. Insulin is a hormone that helps glucose,or sugar, get into your cells to give them energy. Without insulin, too much sugar stays in the blood. Now younger people are also getting type 2 diabetes. Type 2 diabetes used to be called adult-onset diabetes. But now it is becoming more common in children and teens, due to more obesity. With Type 2 diabetes, the body does not make or use insulin well. Children have a higher risk of type 2 diabetes if they are overweight or have obesity, have a family history of diabetes, or are not active. Children who are African American, Hispanic, Native American/Alaska Native, Asian American, or Pacific Islander also have a higher risk. To lower the risk of type 2 diabetes in children: • Have them maintain a healthy weight • Be sure they are physically active • Have them eat smaller portions of healthy foods • Limit time with the TV, computer, and video Children and teens with type 1 diabetes may need to take insulin. Type 2 diabetes may be controlled with diet and exercise. If not, patients will need to take oral diabetes medicines or insulin. A blood test called the A1C can check on how you are managing your diabetes.","MedlinePlus (NLM, public domain)",Diabetes in Children and Teens
What is (are) Diabetic Diet ?,"If you have diabetes, your blood glucose, or blood sugar, levels are too high. Glucose comes from foods you eat. The cells of your body need glucose for energy. A hormone called insulin helps glucose get into your cells. With type 1 diabetes, your body doesn't make insulin. With type 2 diabetes, your body doesn't make or use insulin well. Without enough insulin, glucose builds up in your blood and causes high blood glucose levels. Prediabetes means that your blood glucose levels are higher than normal but not high enough to be called diabetes. If you have prediabetes, you are more likely to develop type 2 diabetes.","MedlinePlus (NLM, public domain)",Diabetic Diet
What is (are) Diabetic Diet ?,"The glucose in your blood comes from certain foods called carbohydrates, or ""carbs."" Foods that are high in carbs include candy and sweets, sodas, breads, tortillas, and white rice. The more carbs you eat, the higher your blood glucose level will be. Some, but not all people with diabetes, may need to count the amount of carbs eaten in drinks and meals. Whether you have type 1 or type 2 diabetes, making the right food choices is an important way to keep your blood glucose at a level that is healthy for you. When you control your blood glucose, you lower your chance of having serious health problems from diabetes, such as vision loss and heart problems. And if you have prediabetes or are at risk for diabetes, eating foods that keep your blood glucose levels healthy may help prevent type 2 diabetes later on.","MedlinePlus (NLM, public domain)",Diabetic Diet
What is (are) Diabetic Diet ?,"There isn't a specific diet or meal plan that works for everybody. Your health care provider may have you see a registered dietician (RD) or a diabetes educator who can help design the best eating plan for you. The plan will consider: • Any medicines that you take • Your weight • Any other health conditions you have • Your lifestyle and tastes • Your goals All eating plans for diabetes have a few things in common, including eating the right foods in the right amounts at the right times.","MedlinePlus (NLM, public domain)",Diabetic Diet
What is (are) Diabetic Diet ?,"Eating the right foods for diabetes means eating a variety of healthy foods from all the food groups: • Fruits and vegetables • Whole grains, such as whole wheat, brown rice, barley, quinoa, and oats • Proteins, such as lean meats, chicken, turkey, fish, eggs, nuts, beans, lentils, and tofu • Nonfat or low-fat dairy, such as milk, yogurt, and cheese","MedlinePlus (NLM, public domain)",Diabetic Diet
What is (are) Diabetic Diet ?,"To keep your blood glucose under control, you may need to cut back on certain foods and drinks. This doesn't mean that you can never enjoy them. But you should have them less often or in smaller amounts. The foods and drinks you should limit include: • High-carb foods and drinks, such as: • Sugary foods, such as candy, cookies, cake, ice cream, sweetened cereals, and canned fruits with added sugar • Drinks with added sugars, such as juice, regular soda, and regular sports or energy drinks • White rice, tortillas, breads, and pasta - especially those made with white flour • Starchy vegetables, such as white potatoes, corn, and peas • Fried foods and other foods high in saturated and trans fats. • Foods high in sodium (salt). • Alcohol. If you do drink, you should drink moderately. This means no more than one standard drink a day if you're a woman or two standard drinks a day if you're a man.","MedlinePlus (NLM, public domain)",Diabetic Diet
What is (are) Diabetic Diet ?,"If you have diabetes, it's important to eat the right amount of food every day. Your eating plan will include how much to eat, and help you choose the types of food for each meal or snack. If you take insulin, you may need to learn how to count carbs to help you know how much insulin to take. Eating at the right times is also important. You will want to plan for regular, balanced meals to avoid blood glucose levels that are too high or too low for you. Eating about the same amount of carbs at each meal can be helpful. Your eating plan will also teach you how to stick with your plan at home and when you eat out. Eating healthy to control your blood glucose does take some effort. But the reward is a chance to live your healthiest life with diabetes. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Diabetic Diet
What is (are) Amino Acid Metabolism Disorders ?,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats. Your digestive system breaks the food parts down into sugars and acids, your body's fuel. Your body can use this fuel right away, or it can store the energy in your body. If you have a metabolic disorder, something goes wrong with this process. One group of these disorders is amino acid metabolism disorders. They include phenylketonuria (PKU) and maple syrup urine disease. Amino acids are ""building blocks"" that join together to form proteins. If you have one of these disorders, your body may have trouble breaking down certain amino acids. Or there may be a problem getting the amino acids into your cells. These problems cause a buildup of harmful substances in your body. That can lead to serious, sometimes life-threatening, health problems. These disorders are usually inherited. A baby who is born with one may not have any symptoms right away. Because the disorders can be so serious, early diagnosis and treatment are critical. Newborn babies get screened for many of them, using blood tests. Treatments may include special diets, medicines, and supplements. Some babies may also need additional treatments if there are complications.","MedlinePlus (NLM, public domain)",Amino Acid Metabolism Disorders
What is (are) Dietary Proteins ?,"Protein is in every cell in the body. Our bodies need protein from the foods we eat to build and maintain bones, muscles and skin. We get proteins in our diet from meat, dairy products, nuts, and certain grains and beans. Proteins from meat and other animal products are complete proteins. This means they supply all of the amino acids the body can't make on its own. Most plant proteins are incomplete. You should eat different types of plant proteins every day to get all of the amino acids your body needs. It is important to get enough dietary protein. You need to eat protein every day, because your body doesn't store it the way it stores fats or carbohydrates. How much you need depends on your age, sex, health, and level of physical activity. Most Americans eat enough protein in their diet.","MedlinePlus (NLM, public domain)",Dietary Proteins
What is (are) Alpha-1 Antitrypsin Deficiency ?,"Alpha-1 antitrypsin deficiency (AAT deficiency, or AATD) is an inherited condition that raises your risk for lung and liver disease. If you have this condition, your body doesn't make enough alpha-1 antitrypsin (AAT). AAT is made by your liver. It helps protect your lungs from inflammation and irritating substances you might breathe in, such as smoke. If your liver doesn't make enough AAT, your lungs may be more easily damaged from smoking, pollution, or dust from the environment. This can lead to a serious lung condition called chronic obstructive pulmonary disease (COPD). AAT deficiency may also cause a liver disease called cirrhosis. This is more common in children who have AAT deficiency.","MedlinePlus (NLM, public domain)",Alpha-1 Antitrypsin Deficiency
